"Campus Meter Data Log for Valley_View_Tower"
"Date","RecordNumber","SensorVoltage","FlowRate","AvgFlowRate","IncrementalVolume","TotalizedVolume"
"2017-03-02 16:25:27",125,0.808,1.25,1.25,0.0208333333333,7.43229428555
"2017-03-02 16:25:28",126,0.808,1.25,1.25,0.0208333333333,7.45312761888
"2017-03-02 16:25:29",127,0.808,1.25,1.25,0.0208333532015,7.47396097208
"2017-03-02 16:25:30",128,0.806,0.9375,0.9375,0.015625,7.48958597208
"2017-03-02 16:25:31",129,0.806,0.9375,0.9375,0.0156250186265,7.50521099071
"2017-03-02 16:25:32",130,0.806,0.9375,0.9375,0.0156250149012,7.52083600561
"2017-03-02 16:25:33",131,0.806,0.9375,0.9375,0.0156250149012,7.53646102051
"2017-03-02 16:25:34",132,0.806,0.9375,0.9375,0.015625,7.55208602051
"2017-03-02 16:25:35",133,0.806,0.9375,0.9375,0.015625,7.56771102051
"2017-03-02 16:25:36",134,0.806,0.9375,0.9375,0.015625,7.58333602051
"2017-03-02 16:25:37",135,0.804,0.625,0.625,0.0104166766008,7.59375269711
"2017-03-02 16:25:38",136,0.806,0.9375,0.9375,0.0156250149012,7.60937771201
"2017-03-02 16:25:39",137,0.804,0.625,0.625,0.0104166790843,7.6197943911
"2017-03-02 16:25:40",138,0.806,0.9375,0.9375,0.0156250149012,7.635419406
"2017-03-02 16:25:41",139,0.804,0.625,0.625,0.0104166666667,7.64583607266
"2017-03-02 16:25:42",140,0.806,0.9375,0.9375,0.015625,7.66146107266
"2017-03-02 16:25:43",141,0.806,0.9375,0.9375,0.015625,7.67708607266
"2017-03-02 16:25:44",142,0.806,0.9375,0.9375,0.0156250149012,7.69271108756
"2017-03-02 16:25:45",143,0.806,0.9375,0.9375,0.015625,7.70833608756
"2017-03-02 16:25:46",144,0.806,0.9375,0.9375,0.0156250149012,7.72396110247
"2017-03-02 16:25:47",145,0.806,0.9375,0.9375,0.015625,7.73958610247
"2017-03-02 16:25:48",146,0.806,0.9375,0.9375,0.0156250149012,7.75521111737
"2017-03-02 16:25:49",147,0.806,0.9375,0.9375,0.0156250186265,7.77083613599
"2017-03-02 16:25:50",148,0.806,0.9375,0.9375,0.015625,7.78646113599
"2017-03-02 16:25:51",149,0.806,0.9375,0.9375,0.0156250149012,7.80208615089
"2017-03-02 16:25:52",150,0.806,0.9375,0.9375,0.0156250149012,7.8177111658
"2017-03-02 16:25:53",151,0.806,0.9375,0.9375,0.015625,7.8333361658
"2017-03-02 16:25:54",152,0.804,0.625,0.625,0.0104166766008,7.8437528424
"2017-03-02 16:25:55",153,0.804,0.625,0.625,0.0104166766008,7.854169519
"2017-03-02 16:25:56",154,0.804,0.625,0.625,0.0104166666667,7.86458618566
"2017-03-02 16:25:57",155,0.806,0.9375,0.9375,0.0156250149012,7.88021120057
"2017-03-02 16:25:58",156,0.808,1.25,1.25,0.0208333333333,7.9010445339
"2017-03-02 16:25:59",157,0.81,1.5625,1.5625,0.0260416977108,7.92708623161
"2017-03-02 16:26:00",158,0.81,1.5625,1.5625,0.0260416915019,7.95312792311
"2017-03-02 16:26:01",159,1.08,43.75,43.75,0.729167362054,8.68229528517
"2017-03-02 16:26:02",160,1.08,43.75,43.75,0.729166666667,9.41146195183
"2017-03-02 16:26:03",161,1.024,35.0,35.0,0.583333333333,9.99479528517
"2017-03-02 16:26:04",162,0.878,12.1875,12.1875,0.203125,10.1979202852
"2017-03-02 16:26:05",163,0.854,8.4375,8.4375,0.14062513411,10.3385454193
"2017-03-02 16:26:06",164,0.854,8.4375,8.4375,0.14062513411,10.4791705534
"2017-03-02 16:26:07",165,0.854,8.4375,8.4375,0.140625301749,10.6197958551
"2017-03-02 16:26:08",166,0.804,0.625,0.625,0.0104166666667,10.6302125218
"2017-03-02 16:26:09",167,0.804,0.625,0.625,0.0104166766008,10.6406291984
"2017-03-02 16:26:10",168,0.804,0.625,0.625,0.0104166666667,10.6510458651
"2017-03-02 16:26:11",169,0.806,0.9375,0.9375,0.0156250149012,10.66667088
"2017-03-02 16:26:12",170,0.806,0.9375,0.9375,0.0156250149012,10.6822958949
"2017-03-02 16:26:13",171,0.806,0.9375,0.9375,0.015625,10.6979208949
"2017-03-02 16:26:14",172,0.806,0.9375,0.9375,0.0156250186265,10.7135459135
"2017-03-02 16:26:15",173,0.806,0.9375,0.9375,0.0156250149012,10.7291709284
"2017-03-02 16:26:16",174,0.808,1.25,1.25,0.0208333532015,10.7500042816
"2017-03-02 16:26:17",175,0.81,1.5625,1.5625,0.0260416666667,10.7760459483
"2017-03-02 16:26:18",176,0.808,1.25,1.25,0.0208333333333,10.7968792816
"2017-03-02 16:26:19",177,0.808,1.25,1.25,0.0208333532015,10.8177126348
"2017-03-02 16:26:20",178,0.808,1.25,1.25,0.0208333333333,10.8385459681
